score,text,klasifikasi
0, wfh santai santai ya ku libur tenang,Netral
0, wfh kak,Netral
0,awalawal rasai nama wfh minggu habis masuk giat dilakuin gedung kantor pindah gedung kantor,Netral
0,gawat kie ges poho tanggalbereum lila teing wfh,Netral
0, wfh garagara coroncessss,Netral
0, wfh kerja jam gin,Netral
0, ngetwit wfh garagara banjir,Netral
0, wfhbapak bosque update makan dihidangin istri wa story lihat nyata istri niat istikamah ngehidangin makan ala chef hotel,Netral
-1,iya capek berangkat pagi pulang sore rutinitasnya eh gilir wfh bosan ,Negatif
1,kasihan tenaga medis overwhelmed overwork sanggup nampung pasien ganti wfh loh please,Positif
-1,beli kakaaa diskon kakaa entar susah loh wfh beli kakak ,Negatif
0,wfh kerja pantang libur,Netral
-1,f dzv wfh ya bumn tanggal suruh ngantor hmm kak psbb dki juni tunggu kembang f bnpb tanggal mei kak ya serah ,Negatif
0, wfh,Netral
0,minggu sekal kantor ecek dokumen numpuk wfh,Netral
0,wfh gua kayak apaapa beginibegini manfaat ,Netral
-1,ya masuk kantor enak wfh,Negatif
-1, kali sambung intern pulau orang utan tutup ye tmpat lancong sok kena wfh kena kat upm,Negatif
-1,bile bos kau productive wfh and no issue if nak continue wfh rase xde je celah bedah mane productive ,Negatif
0, besok wfh kulakukan,Netral
-1, wfh suruh ngantor beuh bobrok badan jam gin,Negatif
0,wfh rebah kayak liburrrr hahah,Netral
-1,pheli baat tum office hinkyin jarahe hoodi wfh corona ki lada main desh hara doge kayak,Negatif
1, jaka sorng wfh kah tenang ,Positif
-1,gilir kirim dm admin wfh sinyal gua blakadut naon malumalui ,Negatif
-1,ya surat edar pemerintah acu surat edar usaha perihal wfh cuti pakai surat edar usaha ,Negatif
0,ya edar internal usaha edar pemerintah contoh edar wfh pemprov dki update pakai hawa hawa,Netral
-1, lockdown wfh pergi kecuali beli makan sore coba pergi beli paket ehhhh buset macet lupa corona,Negatif
-2, kerja bengkalai gara gara mood wfh kasih jumat besok bos besok jumat libur kerja pepet otak jalan rajin,Negatif
0, bhatak rhi thi bahar sunke mujhe bol rha tha wfh krne,Netral
0,haa pata kak end wfh kar sakti h kayak bhatak na rahi thi be kaam tha,Netral
-1,p puasa lebaran p lebaran habis puasa guyon progress wfh tingkat skill guyon ya,Negatif
-1, wfh ya,Negatif
0, wfh thr,Netral
0,semangat kakak wfh tunakarya,Netral
0,studi hp tingkat wfh realita,Netral
-1,grup wfh sepi isi sensi slow respon diam pegang adon kue ya ,Negatif
0,berangan kantor drakoran wfh wfo angan ku ,Netral
0,jumat sok wfh ,Netral
0,ane wfh sebel ente,Netral
0,bangun bangun bangun wfh mah ,Netral
-1, build kamar hasil orang tuh sibuk kerja nikmat weekend cerita wfh,Negatif
-1, ya bukti kerja memberlakukan wfh wfo opsi siswa pembelajaran seko,Negatif
0, beli paket internet wfh,Netral
0,huffff wfh kayak ,Netral
0, wfh apply cuti hehe,Netral
1,untung jumat jatah wfh masuk masuk libur,Positif
-4,day and day ramadhan kosan kantor kosan kaget pulang kantor salemba macet pulang kerja ya live must go on bosan rumah pengin beli baju lebaran wfh haaah ayu,Negatif
0,wfh lo haha,Netral
1, siang mikir malam makan enak pokok apresiasi kuat jalan drama wfh puasa eetapiiiii hujan,Positif
0, rangka singkat wfh suasana suci ramadhan jaga komunikasi koordinasi bawaslu kota bogor laku ecek,Netral
0, orangorang ngira wfh gegoleran doang realitanya capek x lipat koor input lapor nyata sarana periksa unit kerja indonesia capek ,Netral
-1, wfh capek asa dobel seeehhhh,Negatif
0,kerja wfh kerja sales keluarga,Netral
1, post apresiasi nyata during wfh does not mean they c t serve the best for you ajuk mohon efin tinggal email jam dibales nomor efin props you kpp pasar minggu wa fast response,Positif
-1,pengin piara kucing garagara wfh,Negatif
-1, wfh kasi kuota internet yhaa eh lupa wfo,Negatif
0,wfh work life balance they said hahaha tawa deh,Netral
0, nikmat wfh pace less drama less unnecessary interaction less pollution suruh masuk habis lebaran tonton kecewa,Netral
0, ambil jatah wfh rebah kerja,Netral
-2,work wfh wfh pulang rumah ngekost khawatir ,Negatif
-2, mesti kena rush hour kadang rela jaga jammed left lanes mata mata mcd intermark ramai puasa mostly wfh mcd curve nx ok laju,Negatif
0,work experience manfaat pandemi wfh nganggur rumah hasil pundipundi rupiah,Netral
0, wfh garagara corona aco ,Netral
0, wfh,Netral
1,mahu makan maki patient kakakkkm deh elok wfh green zone xtau kene tarik ,Positif
0, wfh kilo wkwkwkwkwkwkcrywkwkwk,Netral
0,wfh graceee ,Netral
-1,hee masalag jerawat bingung garagara ngirannya garagara kerja lapang wfh pakai produk acnes ngefek kayak,Negatif
0,gara wfh bpk rajin kebun,Netral
0, wfh maret kota tiris hayu ,Netral
-1,positif ramerame mal beli baju wfh baju muat,Negatif
-3, into kpop senang dbsk suju semenjak wfh bingung tonton malas tonton dramafilm acara varietynya update ya kpop,Negatif
-3,wfh buibu pikir nyata enak rumah ya pikir sanggup rumah kangen ngantor moms,Negatif
0,mantap tolong adakan turnanen onet wfh biar produktif ,Netral
1,kantor wfh tanggal jumat besok jadwal libur serang fajar suruh masuk jumat matiin hp ,Positif
0,harusss moga puji tuhan sehatt iya wfh semangat selamat lebaran yasalam keluarga rumah,Netral
-4,ask saltyin cepat biar ajar semenjak bapa wfh tau bapa kerja keras kayak asa tuh gaenak bapa kerja keras pagi siang malam anak main hp doang pengin ajar maless yatuhan saltyin hiks,Negatif
0, buka twt jam lembur oncom mudah keditraksi semenjak wfh,Netral
0,boa edanbagi gawai lembaga uang libur tuh harga bangetkarena kenal wfheh negara dagel hapus cuti bersamaenggak mndahin cuti idul fitri kak sngat libur,Netral
0,wfh berlaku,Netral
-1,kepala bpk ibrahim siang arah gawai wfh bk video zoom kait wfh libur idul fitri h,Negatif
-1, wfh pdkt beli kali ya,Negatif
0, indonesia tugas medis potong tunjang biar adil pns wfh hahaha bandung ,Netral
-1, wfh tuh was was bawa,Negatif
-1,musim pandemic covid lamalama senang produktif macet hemat jajan beli baju jilbab up dll,Negatif
0,jujur takut wfh beb,Netral
0,loh wfh ra jakarta rame ,Netral
0,iya beb tuh suka tidur habis dibangunin sahur mama alhamdulillah enak wfh moga normal amin,Netral
1,huhu iya ra wfh sabtu sengaja kebo dibangunin mama eh tidur ,Positif
0,libur mpe wfh masyuk,Netral
-2, asa half half wfh siswa konsultasi pr kerja deadline mei ,Negatif
-1,sehat baju lebaran bilang wfh minim masuk belanja baju lebaran egois engap lo lo doang,Negatif
1,untung wfh,Positif
-1, ge rebah senang libur gara gara gagal wfh kabar kayak ,Negatif
0,ku awalawal wfh goda tauk takut tibatiba masuk tibatiba rapat online murid e cat koyo gondhez mendhez,Netral
-1,suka duka wfh tengahtengah jam kerja suruh ngulek lihat bakwan dipenggorengan takut gosong motor masuk motor masang gas pijetin emak,Negatif
1, jumat masuk tau ngerjain untung jadwal wfh,Positif
0,eh maksud e koe balek mrene opo wfh,Netral
0, roller coaster atur wfh kantor,Netral
0,pahamify temanteman corona pahamify kasih gaji full wfh thr,Netral
0, bestnya wfh deh takde je malammalam laptop,Netral
0,lalalalala semir ah mumpung libur lebaran wfh tanggal masuk tanggal masuk,Netral
0,wfh uang berat,Netral
0,lo masuk jdwal wfh,Netral
2,mpok wfh btw garagara bikin kue lebaran,Positif
-4, mudik ya tahan kangen sehat keluarga rumah partisipasi aktif putus rantai sebar covid pantau karyawan wfh nekat mudik loh coba swipe postingan ya,Negatif
0,masuk wfh ,Netral
-1,wfh sibuk ya,Negatif
-3,curhatan brondy kayak bunda wfh nama kenal kurir paket adaaa ketok bilang permisi paket daff senang eh buka isi bhlah baju bungabunga panci emaknya brondy,Negatif
-1,rajin ya kang sangking wfh,Negatif
0,tiada wfh perang lawan corona jancok ,Netral
-1,zordon wfh tekan mati,Negatif
-2,kantor wfh wa orang kantor kasih info av kali tulis wfh ngana orang wfh kayak kerja hubungin,Negatif
1,untung jadwal wfh,Positif
0, quarantine jam set pagi deh check wfh kelar wfh nugas geser laptop guis untung mata ,Netral
0,free wifi kak kayak hua wfh mein bahut kaam aata,Netral
-4, mudik ya tahan kangen sehat keluarga rumah partisipasi aktif putus rantai sebar covid pantau karyawan wfh nekat mudik loh coba swipe postingan ya,Negatif
0,semangat wfh ,Netral
0, wfh bobo,Netral
0,bobo wfh,Netral
0,masuklibur wfh mah beda ,Netral
0,wfh minggu buah mewah kerja puasa surabaya,Netral
-2, wfh ya rumah ,Negatif
0, cowokcewek oh wfh laku apaapa,Netral
1,inti mah jaga jarak phbs disiplin habis energi teriak psbb teriak masik disiplin phbs ,Positif
0, ngeringeri sedap wfh purchased meja kursi ala ikea saking gemas lihat kamar ala pinterest ,Netral
0,ye i wfh skop kerja i adap laptop tunggu ws korang skop kerja mat i pn life kat rumah,Netral
-2,ku februari beli pakai wfh pakai rumah ya ,Negatif
-5, suka mantengin curhat online kak seriuuuuus ya kisah nyata orang wfh kak tawa tonton ya karakter dominan nyatuuuu tonton ya senang,Negatif
0,wfh libur dengar katakata pemerintah ,Netral
0,hahaha lu kerjagua wfh cuy,Netral
-1, playlist referensi minggu fren lagulagu referensi minggu cari inspirasi garap kerja lupa,Negatif
-4,iya bilang rumah daerah situ adek kerja kayak jatah wfh sekal kasihan lihat stay safe ya a seram ngebayangin medan parah kerja kayak ,Negatif
-3,iya brastagi info adek kemarin seram a supermarket buka ih kontak gawai situ ya kerja kayak a kasih jatah wfh,Negatif
-1, selasa istilah wfh kyu erti jalan pikir pemda nikmat kyu semangat stay safe ya,Negatif
-1,iya kesal mikir libur selasa ngantor kayak istilah wfh ,Negatif
0, kasih jatah wfh,Netral
0,wfh ,Netral
-1, wfh enak ya,Negatif
-1,sok alas malas malas wfh alas operator pulsa data hoo ee,Negatif
0,ygpp siii kayak semenjak wfh hajar tros,Netral
0, wfh diwanti standby ,Netral
0,wfh subuhsubuh kali,Netral
3, tanda tanda wfh kantor cabut tarik nafas ,Positif
-1, kantor cabut wfh wajib masuk kantor ya yasudah kitakita butuh kerja ,Negatif
-2, wfh ya duluan bangun telat telat lucu kaget emmmmm ya,Negatif
1,sni ok je alhamdulillah esk nk opis kjp amik document then wfh,Positif
-2,berat badan linglung dampak wfh,Negatif
-1, tanggal besok wajib masuk wfh suara wahahahahahahag,Negatif
-2,wkkk kmarenan ya habis jakal aki panik wfh,Negatif
-1, kondisi biar gua deh jumat wfo wfh vann,Negatif
-1, serius gaiz kali kulit muka putih garagara wfh wkwkwkwk,Negatif
-1, bilang pemerintahan bekas kagak wfh masuk minggu kena flu ,Negatif
-1,anja future academy promo sd promo wfhsfh mahasiswa soo buruam daftar guys more info klik on picture,Negatif
1,parah wfh usaha kasih subsidi kerja kayak uang internet dll ,Positif
-1, garagara wfh main mobile legends temu main pamer skin keren bikin pengin greget skill ok skin kere,Negatif
-1,wkwkwkwk wfh hyung hobi mancing emosi orang,Negatif
0,wfh bobo bareng yuk,Netral
0,wfh ,Netral
0,wfh hyung mending pulang deh,Netral
0,wfh ,Netral
0,wfh sok imut deh musuh afcjgguk,Netral
0,wtan wfh for better life hyung kali fansmu deh antismu ,Netral
0,ayo wfh inbokan,Netral
0, wfh,Netral
0,tajib wfh hatam drama kaya,Netral
-2, cuti kak wfh santai kerja rumah semangat ya kak ika and don't forget stay safe,Negatif
-1, wfh jam malam ngantuk berat coy,Negatif
1,rekap nyata tahan kerja individu butuh tim interaksi pakai team viewer zoom adaptasiah rindu ,Positif
1, bijak under kerja wfh,Positif
1,kerja bantuin kemarin libur yawla gua kerja nyetakin kue nasib wfh,Positif
-2,serius gajadi cuti teh jumat ya mikir absen wfh hahaha,Negatif
-1,yaudahsih tinggal ijin ajuk wfh mata picek gampang ijin,Negatif
0, direct up suka rese wfh kenal ,Netral
-2, wfh rambut pendek masuk tautau gondrong,Negatif
-1, jls wfh wfo sukasuka yodah anggap wfh isi absen online,Negatif
0,rem damping covid psbb wfh,Netral
0,abistu masuk kantor lamaa wfh ra,Netral
-1,whutt jam tatap screen alah maraton kdrama ya jam kerja jam ra wfh siapin koyo minyak balur ra gel rencana temu ,Negatif
0,ra wfh ,Netral
0, wfh bolos,Netral
-1,bwakaka lelah wfh,Negatif
-2,iya entar masuk zipbag skalian foto pajang syopi ngeri dinkes ya sarang orangorang pemeriksaan dinkes istilah wfh kantor gaberani ruang,Negatif
0, wfh instansi data wawancara psbb akhlakless deh tugas,Netral
0,situasi serap maksimal maksimal serap anggar situasi wfh maksimal lini,Netral
-1,on duty belike bau acem wfh pakai kutang kolor,Negatif
-2,wfh bangun sempit dangkal,Negatif
0,wfh ,Netral
0,wfh ulama ramadhan,Netral
0,libur isa almasih bablas libur lebaran tanggal wfh urgent ,Netral
0,semenjak wfh konsumsi kopi ngopi kayak sakau ,Netral
0,what could be worse me tanggal ubah kerja st wfh kelar tanggal dannnnnn the best part is lembur undur tanggal lebaran masuk kantor,Netral
-4, kerja kantor wfh pokok trakhir kerja libur lebaran kerja kayak orang gila hhhhh tangis marah tau marah jam gin standby email,Negatif
1,good news wfh minggu huhu alhamdulillah privilege saatsaat kayak ,Positif
1,pengin wfh cepat beres biar sibuk kayak gapapa deh kosan langsung tidur overthinking capek,Positif
0, surat edar jumat libur wfh pulang ,Netral
-3, orang indak wfh haruspi makan perkara baju bisaji beli online gobs sekalimi astagfirullah nacaci maki tenaga medis indak tauma masyarakat indak pikir,Negatif
1,suruh wfh tanggal juli kampus uang kompensasi kasur kasur kerja non stop auto tepos kasur,Positif
0,berani action ,Netral
0, jumat jadwal wfh ku lihat kondisi bye bye drama korea ku rencana ku tonton long weekend,Netral
-1, habis balas email bilang cuti wfh yeyeye,Negatif
-1,wfh meeting jam jeda beres pusing deh nampol,Negatif
0,mantaapp wfh produktif,Netral
1, mantap wfh tugas medis lihat tahan,Positif
-3, jumat libur ya putus masuk kerja work from home dear aerlangga ya wfh libur rebah wfh kerjaaaa bangsat,Negatif
2, nikmat wfh jam rumah terima kasih hadiah ya allah bonus working mom kayak ,Positif
0,konpers media briefing wfh ngeluh banding bicara,Netral
0,wfh idam minggu x kantor oke kantor urus legalisasi dokumen ttd cap basah korporasi meeting kantor urus dokumen instansiperusahaan,Netral
0,ramah lingkung sehat fisik sehat paru hemat let' what happen after this situation urus bisnis pegang wfh lancar ,Netral
-1,iya ngapa im wfh asa enak lubuk hati,Negatif
2,checklist wfh realisasi no ideal progress lumayan produktivitas ya kirakira,Positif
1, tidur kerja kak untung pakbos kesi deh wfh urus anak ngerjain kerja rumah alhamdulillah sabar doi,Positif
-1, jadwal wfh jum'at ya mager potong cuti cuti ,Negatif
-1,wfh kulyah jalan ,Negatif
0,punten ieu mah euy naha kudu disaruakeun wfh jeung libur teh,Netral
0,dekar prei wfh we ra nganggo po teh cuti,Netral
-4,semangat gubernur mohon kendor kena awas psbb inshallah sekal kerumun orang pasar mal bandel buka,Negatif
-1,wfh main rp ngedit video tiktokan rebah,Negatif
-4,pakai kuota unlimited gb tuh kuota unlimited pemakaian gb ya rada lemot yutup ig wa lancar google masamasa wfh gua butuh google woii kuliah unlimited,Negatif
0, wfh wtf atuh wyatb,Netral
0, semenjak wfh antuk sekal,Netral
0, wfh punggung hajar ,Netral
-1,periode juni wfh rada ngeringeri baca info hmm moga wfh kantor pasien covid deh ya,Negatif
-3,kau wfh nice deh bro ramai deh start kerja macm zoning confirm jalan jam cam gampang nak kene rush kerja imo diskriminasi control,Negatif
-1, hasil beli upgrade isi kamar perlahan jatah wfh lo deh ,Negatif
0,lho tik kerjamengira wfh,Netral
-1, jumat cuti gawai laksana wfh ya,Negatif
-2,bos ente wfh cuti buah bentuk makan umpan hasrat umpat wa aing gadibales jam heraaan,Negatif
0, wfh,Netral
1, wfh kulyah merah maju tugas ngegas teross,Positif
-3, wfh asa libur ya nder aing hantu tugas ya,Negatif
0, wfh after buka hadap pc now masuk office kerja je ,Netral
0, wfh meeting wfh pasca psbb palembang,Netral
0, bilang wfh ,Netral
-1,usaha jerumus jaring downline orang sahabat perblan rana wfh not caca and her xiyao agenda paci jerumus kaisoo was cbhs when exo debut,Negatif
0, wfh besok jumat ,Netral
-1,terjleb malam bokap bilang tibatiba kak gendut balata duduk wfh workout bareng emi ,Negatif
0,upi hai kangtet hati gas habis uas semester genap libur wfh entar jatah libur ,Netral
2,ye zoning movement okay je takde rushing wfh alhamdulillah sakit hati golong bujang asyik kena a je,Positif
-1, kerja din wfh asli we ciwidey heula haha ih iya gening ya hmm ngebayangin betapa tiisnya,Negatif
-1, tipe orang jarang beli aplikasi jarang pegang hp semenjak wfh badan renkarnasi teripang alias rebah kerja hobi beli skin pubg apaapa deh sedekah itung amal romadon,Negatif
1,alhamdulillah ramadhan wfh sodakoh jariyah gopay google play alhasil cashback noh promo ramadhan sahur ngabuburit tanggal promo lebaran cek coba,Positif
1,selamat malam kabar kandhita tau sibuk wfh ,Positif
0, dengar usul pemerintah kena wfh,Netral
-3,efek wfh bingung dikerjain kerja bingung rumah,Negatif
-1,garagara wfh ya kak,Negatif
-1, wfh masuk kantorkerja ajar online offline alias sekolah aktifitas jalan aktifitas jalan suai protokol sehat pakai masker hidup bersih jaga jarak,Negatif
0, minggu wfh nyaaak masuk jumat besok wajib masuk ganok wfh an hahaha,Netral
1,motto hidup wfh lembur is my passion,Positif
-1,catchers besok nyariin admin ya besok libur nasional admin libur hayo wfh tau besok libur ,Negatif
-2,tonton wfh seling bosan netflix an nontonnya indosiar tuh pindah channel ,Negatif
0, karyawan swasta kerja swasta tau cuti wfh,Netral
-1, harap pon puasa kurus maybe wfh and terawih rakaat malam kau kosong je tengok deh hilang kilo haha tbh istg im shhhoooo impressed with myself rn kg bye bye,Negatif
0,serial killer serious best duk dengar youtube time wfh je dorg podcast,Netral
1, wfh june anak menteri harini redah tganu,Positif
-2, orang bilang wfh kurus badan berat ,Negatif
1,besok libur wfh lihat tanda libur kalender,Positif
1,andre rina sandung gegara becandain marga latuconsina tv pengin hidup normal klaar wfh klaar pandemi biar kasih semangat latuconsina ,Positif
0,akibat efek psbb wfh colabs jual takjil online,Netral
0, wfh kerja beli online class kerja sekolah tugas online class ,Netral
0,efek wfh ribu hamil rencana indonesia,Netral
0,ribu wanita hamil wfh indonesia sorot asing,Netral
0,sungguh pandemi kalangan dampak orang ubah situasi virus sebar kerja penuh butuh phk wfh kuliah online serba online,Netral
-1,wfh lap top ku duaduanya mati,Negatif
0,enak wfh gaji belanja tinggal olshop makan tinggal gofood butuh tinggal suruh asisten tinggal ongkang ongkang kaki doang rumah bakti negara patuh imbau pemerintah damai corona,Netral
-2, tuju nyata mbak atak rakyat ngeyel salah rakyat mbak sakit makan rumah phk wfh makan darimana ,Negatif
-1, wfh tau ya kantor ngadmin,Negatif
-1,kali bawaslu sultra adakan rapat koordinasi via daring bahas kait susun riset kaji evaluasi selenggara pemilihan kepala daerah rentak ,Negatif
0, pictures work from home wfh bosan rekomendasi serial netflix nemenin check this out,Netral
0,hahaha wow efek wfh apaapa sambung kak badan,Netral
1, kanan suruh wfh,Positif
0, wfh tuh kayak indah teman waanjaai,Netral
-2, serius masuk kantor wfh bos ngeshare berita indak libur,Negatif
0,disiplin ki wfh,Netral
-2,ambil putus bijak dasar data wfh home wfh worknya indonesia suka ikutikut jerman longgar jerman buka perlahan turun,Negatif
0,wfh pagi tidur malam kerja,Netral
-3, orang makan lo masuk badan ubah bentuk wfh sederhana tanggung makan makan arti bakar olahraga ,Negatif
0, wfh tiada setel baking channel youtube current favorit cooking tree other korean bakingcooking channel cafe vlog korea hancur bagus gelas menu cafenya oppa unnie jual somehow soothing lihat video orang preparing minum cafe,Netral
-1, siang revisi daftar wfh sore ganti maning,Negatif
0, wfh juni tanggal juni masuk kagak ,Netral
0,wkwkkw wfh,Netral
-1, wfh malas mandi,Negatif
0, libur minggu mumet wfh,Netral
0, swasta libur masukwfh tanggal,Netral
0, gawai swasta berlaku kah tanggal masuk jugawfh,Netral
0, wfh,Netral
0,plis prei blas w wfh pis jumat kecepit lo,Netral
0, syukur kerja condition wfh harihari rungut sakit nak patah bawa mampus ,Netral
0, wfh libur,Netral
-1, pakai kudung wfh sekal pakai aneh sumpah pipi gede,Negatif
0, lu tumben jengotan bar efek wfh lu deh wkwkw,Netral
-2, tida beli baju lebaran beli baju ngantor wfh,Negatif
0, puasa kondisi lebaran kayak benarbenar hambar orangtua mudik social distancing wfh buru takjil masjid bukberbukberan beda vibesnya,Netral
0,psbb jekerdah wfh ,Netral
0, wfh kantor permanen utama departemen kerja by remote ya ngantor minggu x donlot drakor ,Netral
0,cs wfh lola lolo sebel diamana csnya myrep ,Netral
0, wfh ,Netral
0,kerja jumat jepit banten edar kamir wfh ,Netral
-1,wfh tanggal merah asa tanggal merah,Negatif
1, jaga tower wfh kakak maaf,Positif
-3,puasa lockdown wfh enak nyata cape tkp tikai hujat salah cari baku hantam teori k nsp r s sales marketing near a kak award ,Negatif
-1,lo stres wfh cuman garagara ketemu teman kantor lo cakep ,Negatif
-3, jam kayak pemerintah himbau rumah kerja ya wfh situ sehat suka kayak duhai tetangga berperasaan,Negatif
0,rencana nabung wfh realitanya dikit buka shopee sanggup uninstall,Netral
-1,wfh ya ,Negatif
0,wfh bosquueee ngasik typo,Netral
-2,senang wfh rumah main mario cartttttt,Negatif
-1, wfh kolega kantor rajin online meetup ya nama meeting ya ngebahasnya kerja temanteman suka bikin online meetup just because kangen hihihi,Negatif
-2, bubuh digital signature wfh aman absah informasi mampir laman informasi coronavirus,Negatif
-1, stres walaupon wfh supplier dok call wasap deh macammacam finalise the order depa mu nok ggapo ,Negatif
-1, kantor karyawan wfh mesti ngantor pulang makan buka puasa nominal kepala ratus pandemi stay strong my office,Negatif
0, wfh partai mantap,Netral
0, tggl ubah gajadi cuti biar gaji potong libur garagara antisipasi mudik lebaran faklah wfh pengin noworkathome,Netral
0, support benefit upa laptop handphone dukung wfh masuk pulsa ya kerja cari cust sales representatif jod desk finance alam nelp usaha angkat tolak dijutekin ,Netral
-1,same emotion here brogue wfhdan kayak tahan rumahkeluar rumah keliling jalan lingkung rumahdan asa sia lihat gembira keluyur mall ,Negatif
0,wfo wfh ,Netral
-1,waa enake wfh malang mas rejekii,Negatif
-1, positif korona plz ya wfh tuh k kuliah sekolah normal ,Negatif
-2, garagara wfh orang orang goblok,Negatif
-1, tuh new normal naikin jmlh pasien sumpah wfh angka tuju k aktifitas normal i know physical distancing dll jamin msyarakat indonesia kayak jerman ya beda ,Negatif
-1,makinmakin mbul ya wfh akang bri,Negatif
-2,kak veeee hummm just sok sok goler rumah main kubis kakak wfh,Negatif
-3, wfh surat tugas wfo terbit praktis minggu pegawe masuk langsung rapid test kangen masuk kantor ragu kondisi ya,Negatif
-1,wfh kerja wfh adaptasi hasil impact cross border kerja trusted kayak cari kerja vietnam hemat energi environment space kerja polusi cost sdm ,Negatif
-1, takok cek kon paham ambe statement e mbake cek angger jeplak mek ditentukno teko nurut ambe e wargae ng kono enak nek kon wfh kene buruh isok dikongkon dadi petan ternak onok lahan surabaya ,Negatif
-1,ya takda kerja wfh nak kena pergi ofis operation team ,Negatif
1,lowong kerja koordinator uang kirim cv updatemu nomor wa lampir biar cepat kerja lebaran bete kurung rumah wfh gaji seprapat bayar lebaran kuda,Positif
0, jumat libur cuti mnyt liburin tau wfh,Netral
0,sejahtera wfh kenal jam malam wkaowkaowk,Netral
0, wfh ,Netral
-2, tanggal mei batal libur sedih wfh sedih kali kesel,Negatif
-1,untung wfh mudik ya bisabisanya cutber tanggal dirapatin ulang h ngeprank lanjur pulang kampung ,Negatif
0, wfh mbak,Netral
0, wfh ,Netral
-1,snap isi berangkat jum'at set mending wfh ,Negatif
-3,syukur nama quarantine beli beli bersih kaca hasil flashsale satisfying coba kayak abang abang mol mol bersihin kaca pakai gondola bagus tau bekas bercak air kering day wfh mei,Negatif
1,syukur sip buka kedai jangga day mei,Positif
0, mas arief cuman aktif wfh haha,Netral
0,masuk kantor wfh,Netral
0, wfh ,Netral
-1,iya kak wfh kakak stay safe bahaya ,Negatif
0,haih penat wfh,Netral
-1, libur kerja rumah wfh,Negatif
-2, thread deh kerja pandemi april kemarin rumah phk kerja wfh gantung gaji ,Negatif
0,en wfh garagara emak patroli micin beli auto sita,Netral
0,wkwkwkwk wfh,Netral
-1, senang besok jumat libur eh berita asn bumn masuk broadcast memorandum jumat libur batal pengin tangis rasanyaa wfh emakemak bayi art butuh liburrrrr lebaran ,Negatif
0, wfh capek wfo sumpah,Netral
0,mbok jumat i wfh yhaaaaa kecepit ngono none,Netral
0, pns potong separo apaapa wfh,Netral
-2,agshsgshshs astaghfirullah seram aaaa kakak kerja ira wfh,Negatif
0,efek wfh psbb hamil pandemi indonesia,Netral
0, tunggu resep simple and praktis maknyuss mumpung wfh habis lebaran rutinitas,Netral
-1,wfh kabupaten bekas zona merah,Negatif
0,oh absen ndah wfh,Netral
0,maaf maaf ya mutualku kerja wfh kantor stay streaming asa harga ,Netral
0, ira libur masuk wfh ,Netral
0,eh surat edar kemendagri tau libur wfh mudik ,Netral
0, wfh sister,Netral
-3,capek sha tangis dikirimin wfh stres kerja kantor istirahat ramadhan jam tuh kelar pulang wfh bikin orang kerja gainget deh,Negatif
-2, orang wfh butuh libur ya,Negatif
-2,haha xde kena masuk full line deh start jalan hb eagle kali jalan je kot wfh,Negatif
-1,risau nk meeting wfh risau tgh cakap anak tetiba bising mute microphone cakap sepatah mute ,Negatif
0,eagle line kali start hb sok xperlu masuk everyweek kot follow je schedule wfh please lahhhhh,Netral
1,chating anak angkat ya aldo nopal alip deniar ngobrolin ta ngobrolin anakanak angkat pandemi wfh konek ,Positif
-3,isun cerbon kantor ruko csb staf wfh putus rantai tular covid orng tolol antri masuk csb beli baju doang,Negatif
0, libur lebaran besok masuk liburrrrr habis wfh mayanlah ngeretekin punggung,Netral
0,iwysm wfh project commission result kukerjakan minggu terakhirrr thankyou everyone,Netral
-3, awalawal wfh happy harap mei juni tuh coro hilang indonesia masuk puasa panik kondisi stabil pemerintah labil psbb anggar stres gatel tang ,Negatif
-2,oh awalawal psbb wfh minggu order ya masuk next meet up ya ,Negatif
-1,tolong internet mati pagi paksa wfh pakai kuota,Negatif
0,besok pagi wfh ,Netral
-1,atur sebelom wfh eug bondol ya,Negatif
-1,wfh laku kadang sukar kerja,Negatif
-1,oh begituuuuu masuk jumat ya eh wfh jumat deng ,Negatif
-2,susah nak cari sefahaman ngan ofismate je ngan senang wfh communication task bodo tau nak ,Negatif
0,wfh juni kerja kayak malam orangorang kenal gilir jam kerja ,Netral
0, omjoy pemasukannyo zek hahaha wfh ,Netral
0, pengin coba lipenku kepake wfh samaaa,Netral
-2, kadang sabtu diwasap projectnya wfo laptop tinggal kantor wfh istilah laptop excuse kecuali minggu monitor sisi enak wfo ya pandemi,Negatif
0,mending kerja wfh kasih tugas seabreggggg hehehe,Netral
-1,syokla wfh bos bodo suruh staff ofis bangang gila,Negatif
0,wacana usaha wfh mulih wonosari ngopeni ngalas karo sawah wae nek tenan,Netral
-1,sabar ya harap tanggal mei jadwal ku wfh,Negatif
0,wfh effect gembem je pipi,Netral
0, kantor kantor kayak maret deh habis minggu sibuk kerjain proyek kantor eh wfh pemerintah kantor jam ,Netral
-6,new normal i opo bingung karo wongwong sing omong new normal lagek wulan ngelakoni psbb podo omong new normal lek vaksine bar riyoyo mene wes ditemokno opo ya nglakoni psbb sak teruse opo ya jek njogo jarak sak teruse opo ya wfh sak teruse ora ,Negatif
0,sbbnya bosses prefer continue wfh,Netral
-1,obrol teman kemarin me anjir gaberani new normal habis lebaran ijin wfh kantor nyuruh masuk peduli kena covid asuransi cover teman iya kompensasi rban papan bunga kantor ,Negatif
